R,UCCSD (kJ/mol),UB3LYP (kJ/mol),UHF (kJ/mol)
0.5,1332.887445,1828.719066,1782.868366
0.51,1238.910714,1677.526903,1631.861427
0.52,1150.254916,1537.818504,1492.428201
0.53,1066.667441,1408.712464,1363.68232
0.54,987.9069017,1289.401656,1244.811561
0.55,913.7426571,1179.145874,1135.070989
0.56,843.9543426,1077.265268,1033.776806
0.57,778.3314281,983.1353459,940.3008282
0.58,716.6727926,896.1826606,854.0655168
0.59,658.7863166,815.8800272,774.5394972
0.6,604.4884926,741.7417334,701.233512
0.61,553.6040521,673.3198953,633.6967621
0.62,505.9656076,610.2018342,571.5135913
0.63,461.4133114,552.0073884,514.3004816
0.64,419.7945278,498.3857594,461.7033271
0.65,380.9635193,449.0125591,413.3949564
0.66,344.7811473,403.5876664,369.0728823
0.67,311.1145841,361.8336266,328.4572554
0.68,279.8370386,323.493944,291.2890017
0.69,250.8274924,288.331108,257.3281265
0.7,223.9704485,256.1247422,226.3521735
0.71,199.1556898,226.6702491,198.1548154
0.72,176.278048,199.777863,172.5445747
0.73,155.2371835,175.2716544,149.3436536
0.74,135.9373728,152.9883381,128.3868684
0.75,118.2873069,132.7760316,109.520674
0.76,102.1998974,114.4932469,92.60227477
0.77,87.59209077,98.0082625,77.4988099
0.78,74.38469116,83.19858579,64.0866105
0.79,62.50219051,69.95035147,52.25051427
0.8,51.87260595,58.15756023,41.88323543
0.81,42.42732427,47.72132789,32.88479757
0.82,34.10095309,38.54931037,25.16199808
0.83,26.83117834,30.55534666,18.62791718
0.84,20.55862801,23.65914635,13.2014768
0.85,15.22674163,17.78592208,8.807020559
0.86,10.78164551,12.86594583,5.373927758
0.87,7.172033266,8.834105213,2.836264228
0.88,4.349051556,5.629514895,1.132446249
0.89,2.266190724,3.195246165,0.2049465
0.9,0.879180184,1.478119529,0
0.91,0.145888328,0.428484164,0.467357311
0.92,0,0,1.56002199
0.93,0.482058696,0.149385677,3.234053675
0.94,1.477111286,0.836163868,5.448329166
0.95,2.976891808,2.022440736,8.164374391
0.96,4.948607445,3.672709024,11.34617275
0.97,7.361088565,5.753706278,14.96000232
0.98,10.18471534,8.234294072,18.97428359
0.99,13.39134756,11.08535299,23.35943244
1,16.95425747,14.27965397,28.08773409
1.01,20.84806559,17.79173231,33.13321709
1.02,25.04867928,21.59771694,38.4715457
1.03,29.53323404,25.67519137,44.07989907
1.04,34.28003731,30.00309645,49.9368925
1.05,39.26851477,34.56165692,56.02248031
1.06,44.47915901,39.33233938,62.31786654
1.07,49.89348038,44.29780241,68.80542622
1.08,55.49396006,49.44182829,75.46864232
1.09,61.26400519,54.74924164,82.29202965
1.1,67.18790588,60.205807,89.26107708
1.11,73.25079426,65.7981422,96.36218189
1.12,79.43860519,71.51366058,103.5825946
1.13,85.7380388,77.34053691,110.9103825
1.14,92.13652464,83.26768107,118.3343555
1.15,98.62218741,89.28473546,125.8440431
1.16,105.1838142,95.38202249,133.4296419
1.17,111.8108234,101.5505026,141.0819809
1.18,118.4932343,107.7817242,148.792472
1.19,125.2216392,114.067761,156.5530918
1.2,131.9871754,120.4011724,164.3563313
1.21,138.7814997,126.7749665,172.1951771
1.22,145.5967632,133.1826008,180.0630754
1.23,152.4255873,139.617955,187.9539047
1.24,159.2610415,146.0753267,195.8619508
1.25,166.096621,152.5494123,203.7818799
1.26,172.9262265,159.0352654,211.7087164
1.27,179.7441441,165.5282782,219.6378198
1.28,186.5450264,172.0241476,227.5648637
1.29,193.3238745,178.5188434,235.485816
1.3,200.0760206,185.008598,243.3969205
1.31,206.7971116,191.4898854,251.2946785
1.32,213.4830935,197.9594184,259.1758335
1.33,220.1301962,204.4141383,267.0373541
1.34,226.7349191,210.8512043,274.8764202
1.35,233.2940177,217.2679806,282.6904093
1.36,239.8044902,223.6620252,290.4768837
1.37,246.2635654,230.0310619,298.2335784
1.38,252.6686905,236.3729746,305.958389
1.39,259.0175198,242.6857837,313.6493627
1.4,265.3079042,248.9676565,321.3046879
1.41,271.5378803,255.2168733,328.9226843
1.42,277.7056612,261.4318457,336.5017957
1.43,283.8096266,267.611093,344.0405818
1.44,289.8483141,273.7532551,351.5377099
1.45,295.8204108,279.8570691,358.9919494
1.46,301.7247446,285.9213772,366.4021653
1.47,307.560277,291.9451056,373.7673116
1.48,313.3260958,297.9272698,381.0864263
1.49,319.0214074,303.8669507,388.3586273
1.5,324.6455306,309.7633082,395.5831062
1.51,330.1978902,315.6155653,402.7591254
1.52,335.6780107,321.4230103,409.8860129
1.53,341.0855106,327.1849895,416.9631598
1.54,346.4200971,332.9009122,423.9900162
1.55,351.6815603,338.5702402,430.9660887
1.56,356.8697688,344.1924982,437.8909358
1.57,361.9846645,349.7672583,444.7641672
1.58,367.0262584,355.2941345,451.5854403
1.59,371.994626,360.7727987,458.3544572
1.6,376.8899035,366.2029515,465.0709641
1.61,381.7122836,371.5843436,471.734747
1.62,386.462012,376.9167517,478.3456317
1.63,391.139384,382.1999947,484.9034807
1.64,395.7447406,387.4339203,491.4081917
1.65,400.2784662,392.618413,497.8596965
1.66,404.7409846,397.7533888,504.2579579
1.67,409.132757,402.8387978,510.60297
1.68,413.4542788,407.8746163,516.8947551
1.69,417.706077,412.8608523,523.1333631
1.7,421.888708,417.7975425,529.3188703
1.71,426.0027552,422.6847499,535.4513774
1.72,430.0488268,427.5225585,541.5310079
1.73,434.0275535,432.3110812,547.5579085
1.74,437.9395867,437.0504415,553.5322457
1.75,441.7855969,441.7407942,559.4542064
1.76,445.5662714,446.3822994,565.3239957
1.77,449.2823129,450.9751463,571.1418358
1.78,452.9344382,455.5195317,576.907966
1.79,456.5233759,460.0156709,582.62264
1.8,460.0498659,464.4637976,588.2861254
1.81,463.5146574,468.864156,593.8987038
1.82,466.9185081,473.2170086,599.460668
1.83,470.2621826,477.522631,604.9723223
1.84,473.5464516,481.7813096,610.4339817
1.85,476.7720907,485.9933513,615.8459698
1.86,479.9398792,490.1590635,621.2086186
1.87,483.0505996,494.2787744,626.5222683
1.88,486.1050366,498.3528094,631.7872654
1.89,489.1039758,502.3815125,637.0039625
1.9,492.0482035,506.3652225,642.172718
1.91,494.9385059,510.3042911,647.2938941
1.92,497.7756679,514.1990675,652.3678575
1.93,500.5604732,518.0499088,657.394978
1.94,503.293703,521.8571694,662.3756283
1.95,505.976136,525.6212117,667.3101829
1.96,508.6085476,529.3423953,672.1990183
1.97,511.1917093,533.0210905,677.0425122
1.98,513.7263886,536.6576674,681.8410425
1.99,516.2133483,540.2524962,686.5949885
2,518.6533461,543.8059577,691.3047281
2.01,521.0471345,547.3184325,695.9706398
2.02,523.3954602,550.7903039,700.5931012
2.03,525.6990637,554.2219553,705.1724887
2.04,527.9586795,557.6137752,709.7091775
2.05,530.1750354,560.966147,714.2035413
2.06,532.3488523,564.2794541,718.6559528
2.07,534.4808442,567.5540743,723.066782
2.08,536.5717179,570.7903833,727.4363978
2.09,538.6221726,573.9887538,731.7651662
2.1,540.6329002,577.1495508,736.0534517
2.11,542.6045846,580.2731392,740.3016164
2.12,544.5379022,583.3598761,744.51002
2.13,546.4335212,586.4101212,748.6790202
2.14,548.2921018,589.4242315,752.8089715
2.15,550.114296,592.4025641,756.9002269
2.16,551.9007477,595.3454761,760.9531366
2.17,553.6520926,598.2533299,764.9680488
2.18,555.3689578,601.1264824,768.9453087
2.19,557.0519623,603.965296,772.8852592
2.2,558.7017165,606.7701356,776.7882411
2.21,560.3188226,609.5413583,780.654593
2.22,561.9038741,612.2793238,784.4846509
2.23,563.4574564,614.9843866,788.2787483
2.24,564.9801461,617.656901,792.0372166
2.25,566.4725117,620.2972137,795.7603854
2.26,567.9351131,622.9056607,799.4485809
2.27,569.3685019,625.4825781,803.1021285
2.28,570.7732214,628.0282967,806.7213504
2.29,572.1498065,630.543142,810.3065667
2.3,573.4987839,633.0274265,813.8580958
2.31,574.8206721,635.4814731,817.3762532
2.32,576.1159813,637.9055969,820.8613527
2.33,577.3852137,640.300105,824.3137062
2.34,578.6288634,642.6653205,827.7336224
2.35,579.8474165,645.0015531,831.1214088
2.36,581.0413512,647.3091204,834.4773702
2.37,582.2111379,649.5883429,837.801809
2.38,583.357239,651.8395356,841.095026
2.39,584.4801094,654.0630213,844.3573193
2.4,585.5801961,656.2591205,847.5889842
2.41,586.6579389,658.4281455,850.7903147
2.42,587.7137699,660.570414,853.9616019
2.43,588.7481137,662.6862359,857.1031346
2.44,589.7613877,664.7759183,860.2151991
2.45,590.7540021,666.8397658,863.2980792
2.46,591.7263599,668.8780724,866.3520566
2.47,592.6788571,670.8911322,869.3774104
2.48,593.6118825,672.8792314,872.3744169
2.49,594.5258183,674.8426562,875.34335
2.5,595.4210397,676.7816848,878.2844811
2.51,596.2979153,678.6966008,881.1980794
2.52,597.156807,680.58768,884.0844106
2.53,597.9980703,682.4551952,886.9437383
2.54,598.822054,684.2994223,889.7763237
2.55,599.6291009,686.1206395,892.5824251
2.56,600.4195473,687.9191172,895.3622978
2.57,601.1937233,689.6951286,898.1161949
